ticket_id,company_id,company_name,industry,ai_agent_id,ai_agent_name,agent_tier,channel,category,region,created_at,resolved_at,resolution_time_min,first_response_sec,interaction_turns,was_escalated,resolution_status,customer_sentiment,satisfaction_score,complexity_flag
TKT-C001-00019,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,cancellation,Chelyabinsk,2024-02-24 17:08:46,2024-02-24 17:26:46,18,1,2,False,resolved_by_ai,positive,4.0,False
TKT-C001-00020,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,billing_dispute,Perm,2024-03-31 13:26:29,2024-03-31 13:37:29,11,9,7,False,resolved_by_ai,negative,,False
TKT-C001-00021,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,cancellation,Voronezh,2024-01-28 07:12:12,2024-01-28 07:37:12,25,9,2,False,resolved_by_ai,positive,3.0,False
TKT-C001-00022,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,billing_dispute,Samara,2024-05-20 03:03:41,2024-05-20 03:26:41,23,7,3,False,resolved_by_ai,positive,5.0,False
TKT-C001-00023,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,device_support,Krasnoyarsk,2024-02-24 12:57:03,2024-02-24 13:05:03,8,6,9,True,escalated_to_human,positive,2.0,False
TKT-C001-00024,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,number_porting,Moscow,2024-05-22 21:45:31,2024-05-22 22:02:31,17,12,1,False,resolved_by_ai,positive,,False
TKT-C001-00025,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,plan_upgrade,Ufa,2024-01-13 18:30:32,2024-01-13 18:50:32,20,2,3,True,escalated_to_human,positive,3.0,False
TKT-C001-00026,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,number_porting,Yekaterinburg,2024-03-01 12:07:56,2024-03-01 12:26:56,19,7,6,False,resolved_by_ai,negative,,False
TKT-C001-00027,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,device_support,Rostov-on-Don,2024-06-20 22:20:15,2024-06-20 22:35:15,15,11,2,False,resolved_by_ai,positive,4.0,False
TKT-C001-00028,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,roaming_issue,Novosibirsk,2024-05-24 03:04:34,2024-05-24 03:54:34,50,12,4,False,resolved_by_ai,negative,4.0,False
TKT-C001-00029,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,billing_dispute,Novosibirsk,2024-04-22 17:45:19,2024-04-22 17:59:19,14,7,2,False,resolved_by_ai,positive,,False
TKT-C001-00030,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,plan_upgrade,Voronezh,2024-03-08 03:56:06,2024-03-08 04:16:06,20,12,4,False,resolved_by_ai,positive,4.0,False
TKT-C001-00031,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,service_outage,Ufa,2024-03-08 16:31:16,2024-03-08 17:09:16,38,8,6,False,resolved_by_ai,negative,,True
TKT-C001-00032,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,device_support,Voronezh,2024-03-08 05:47:28,2024-03-08 05:55:28,8,4,3,False,resolved_by_ai,positive,2.0,False
TKT-C001-00033,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,plan_upgrade,Yekaterinburg,2024-04-04 18:35:09,2024-04-04 19:18:09,43,13,2,True,escalated_to_human,positive,,False
TKT-C001-00034,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,device_support,Perm,2024-06-23 07:42:06,2024-06-23 08:05:06,23,12,4,False,resolved_by_ai,positive,,False
TKT-C001-00035,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,internet_speed,Perm,2024-02-15 13:01:11,2024-02-15 13:21:11,20,6,4,False,resolved_by_ai,positive,4.0,False
TKT-C001-00036,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,cancellation,Voronezh,2024-06-28 03:24:55,2024-06-28 03:55:55,31,14,5,False,resolved_by_ai,positive,,False
TKT-C001-00037,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,device_support,Omsk,2024-02-28 07:01:42,2024-02-28 07:24:42,23,14,5,False,resolved_by_ai,positive,5.0,False
TKT-C001-00038,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,billing_dispute,Rostov-on-Don,2024-04-12 21:53:34,2024-04-12 21:58:34,5,11,6,True,escalated_to_human,negative,5.0,False
TKT-C001-00039,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,device_support,Krasnoyarsk,2024-04-21 11:46:50,2024-04-21 12:12:50,26,7,4,False,resolved_by_ai,neutral,4.0,False
TKT-C001-00040,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,number_porting,Ufa,2024-04-21 00:33:59,2024-04-21 00:50:59,17,1,6,False,resolved_by_ai,positive,2.0,False
TKT-C001-00041,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,roaming_issue,Ufa,2024-02-01 23:57:19,2024-02-02 00:11:19,14,10,3,False,resolved_by_ai,positive,3.0,False
TKT-C001-00042,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,roaming_issue,Rostov-on-Don,2024-04-07 21:47:57,2024-04-07 22:56:57,69,7,4,False,resolved_by_ai,neutral,5.0,False
TKT-C001-00043,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,cancellation,Kazan,2024-06-04 20:20:29,2024-06-04 20:33:29,13,7,3,False,resolved_by_ai,positive,4.0,False
TKT-C001-00044,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,service_outage,Novosibirsk,2024-05-11 21:40:39,2024-05-11 23:22:39,102,10,4,False,resolved_by_ai,positive,,True
TKT-C001-00045,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,service_outage,Yekaterinburg,2024-01-07 01:15:30,2024-01-07 01:41:30,26,10,7,False,resolved_by_ai,positive,5.0,True
TKT-C001-00046,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,device_support,Yekaterinburg,2024-02-07 20:44:00,2024-02-07 21:10:00,26,12,8,False,resolved_by_ai,positive,5.0,False
TKT-C001-00047,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,internet_speed,Omsk,2024-02-01 14:08:51,2024-02-01 14:23:51,15,7,7,False,resolved_by_ai,positive,,False
TKT-C001-00048,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,cancellation,Kazan,2024-04-24 05:47:55,2024-04-24 06:05:55,18,3,8,False,resolved_by_ai,positive,3.0,False
TKT-C001-00049,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,roaming_issue,Krasnoyarsk,2024-04-22 02:45:18,2024-04-22 03:15:18,30,9,3,False,resolved_by_ai,negative,5.0,False
TKT-C001-00050,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,device_support,Perm,2024-02-09 22:13:04,2024-02-09 22:37:04,24,8,7,False,resolved_by_ai,negative,4.0,False
TKT-C001-00051,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,device_support,Voronezh,2024-05-29 22:01:54,2024-05-29 22:08:54,7,7,7,False,resolved_by_ai,neutral,,False
TKT-C001-00052,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,number_porting,Ufa,2024-04-17 17:47:47,2024-04-17 18:00:47,13,6,7,False,resolved_by_ai,positive,3.0,False
TKT-C001-00053,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,plan_upgrade,Chelyabinsk,2024-04-13 23:10:53,2024-04-13 23:31:53,21,10,1,False,resolved_by_ai,positive,4.0,False
TKT-C001-00054,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,device_support,Voronezh,2024-02-04 14:11:03,2024-02-04 15:42:03,91,9,7,False,resolved_by_ai,neutral,4.0,False
TKT-C001-00055,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,billing_dispute,Perm,2024-04-17 08:53:05,2024-04-17 09:37:05,44,8,4,False,resolved_by_ai,positive,2.0,False
TKT-C001-00056,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,number_porting,Rostov-on-Don,2024-06-15 01:48:01,2024-06-15 01:54:01,6,8,8,False,resolved_by_ai,neutral,4.0,False
TKT-C001-00057,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,plan_upgrade,Saint Petersburg,2024-02-25 14:44:16,2024-02-25 15:09:16,25,17,3,False,resolved_by_ai,positive,,False
TKT-C001-00058,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,device_support,Perm,2024-05-28 00:59:19,2024-05-28 01:13:19,14,10,4,False,resolved_by_ai,negative,5.0,False
TKT-C001-00059,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,billing_dispute,Chelyabinsk,2024-03-18 21:38:51,2024-03-18 22:13:51,35,4,6,False,resolved_by_ai,neutral,4.0,False
TKT-C001-00060,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,cancellation,Volgograd,2024-05-05 03:27:23,2024-05-05 03:59:23,32,11,5,False,resolved_by_ai,positive,4.0,False
TKT-C001-00061,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,roaming_issue,Yekaterinburg,2024-05-17 15:29:27,2024-05-17 15:55:27,26,5,5,False,resolved_by_ai,positive,,False
TKT-C001-00062,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,internet_speed,Kazan,2024-04-28 18:39:42,2024-04-28 19:44:42,65,3,5,True,escalated_to_human,negative,4.0,False
TKT-C001-00063,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,roaming_issue,Samara,2024-03-28 08:56:38,2024-03-28 09:19:38,23,16,4,False,resolved_by_ai,neutral,,False
TKT-C001-00064,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,cancellation,Kazan,2024-05-22 07:44:30,2024-05-22 07:53:30,9,6,7,False,resolved_by_ai,neutral,1.0,False
TKT-C001-00065,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,internet_speed,Kazan,2024-06-18 18:23:30,2024-06-18 18:40:30,17,7,8,False,resolved_by_ai,neutral,5.0,False
TKT-C001-00066,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,service_outage,Samara,2024-02-29 03:46:12,2024-02-29 04:04:12,18,9,4,False,resolved_by_ai,positive,5.0,True
TKT-C001-00067,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,roaming_issue,Moscow,2024-03-11 23:37:48,2024-03-11 23:45:48,8,10,6,False,resolved_by_ai,neutral,5.0,False
TKT-C001-00068,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,billing_dispute,Moscow,2024-06-30 17:08:17,2024-06-30 17:27:17,19,14,8,False,resolved_by_ai,neutral,5.0,False
TKT-C001-00069,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,internet_speed,Saint Petersburg,2024-05-26 09:30:30,2024-05-26 09:44:30,14,7,8,False,resolved_by_ai,positive,2.0,False
TKT-C001-00070,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,billing_dispute,Saint Petersburg,2024-04-12 15:04:36,2024-04-12 15:44:36,40,4,3,True,escalated_to_human,positive,,False
TKT-C001-00071,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,number_porting,Chelyabinsk,2024-05-22 13:38:38,2024-05-22 13:56:38,18,13,5,False,resolved_by_ai,positive,,False
TKT-C001-00072,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,service_outage,Novosibirsk,2024-03-19 18:39:03,2024-03-19 18:52:03,13,9,2,False,resolved_by_ai,neutral,3.0,True
TKT-C001-00073,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,cancellation,Krasnoyarsk,2024-05-21 02:10:00,2024-05-21 02:39:00,29,11,5,False,resolved_by_ai,negative,,False
TKT-C001-00074,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,number_porting,Saint Petersburg,2024-04-26 02:43:14,2024-04-26 02:53:14,10,4,5,False,resolved_by_ai,positive,,False
TKT-C001-00075,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,roaming_issue,Omsk,2024-01-16 05:50:19,2024-01-16 06:12:19,22,10,7,False,resolved_by_ai,neutral,,False
TKT-C001-00076,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,billing_dispute,Ufa,2024-05-18 15:28:05,2024-05-18 15:56:05,28,10,1,False,resolved_by_ai,positive,5.0,False
TKT-C001-00077,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,roaming_issue,Novosibirsk,2024-05-27 18:01:48,2024-05-27 18:11:48,10,9,8,False,resolved_by_ai,neutral,,False
TKT-C001-00078,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,service_outage,Nizhny Novgorod,2024-05-29 13:40:52,2024-05-29 14:46:52,66,6,2,False,resolved_by_ai,neutral,,True
TKT-C001-00079,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,device_support,Saint Petersburg,2024-04-15 22:31:18,2024-04-15 23:21:18,50,10,6,False,resolved_by_ai,positive,4.0,False
TKT-C001-00080,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,cancellation,Perm,2024-04-13 16:52:00,2024-04-13 17:00:00,8,11,8,False,resolved_by_ai,neutral,3.0,False
TKT-C001-00081,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,roaming_issue,Kazan,2024-01-14 06:17:35,2024-01-14 06:29:35,12,11,4,False,resolved_by_ai,neutral,,False
TKT-C001-00082,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,number_porting,Novosibirsk,2024-05-21 00:35:26,2024-05-21 01:30:26,55,6,2,False,resolved_by_ai,positive,5.0,False
TKT-C001-00083,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,roaming_issue,Chelyabinsk,2024-05-07 22:18:32,2024-05-07 22:47:32,29,10,8,False,resolved_by_ai,positive,4.0,False
TKT-C001-00084,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,service_outage,Kazan,2024-02-18 19:32:47,2024-02-18 21:07:47,95,15,5,False,resolved_by_ai,positive,,True
TKT-C001-00085,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,plan_upgrade,Nizhny Novgorod,2024-03-17 18:37:42,2024-03-17 18:57:42,20,6,7,False,resolved_by_ai,neutral,4.0,False
TKT-C001-00086,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,number_porting,Perm,2024-02-18 22:15:36,2024-02-18 22:28:36,13,6,8,False,resolved_by_ai,neutral,,False
TKT-C001-00087,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,plan_upgrade,Voronezh,2024-04-07 12:42:50,2024-04-07 12:57:50,15,10,6,False,resolved_by_ai,positive,,False
TKT-C001-00088,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,billing_dispute,Perm,2024-04-22 03:33:58,2024-04-22 04:17:58,44,11,3,False,resolved_by_ai,positive,4.0,False
TKT-C001-00089,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,service_outage,Ufa,2024-03-08 10:39:44,2024-03-08 11:33:44,54,14,7,False,resolved_by_ai,positive,,True
TKT-C001-00090,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,number_porting,Saint Petersburg,2024-05-04 17:02:39,2024-05-04 17:22:39,20,18,2,False,resolved_by_ai,positive,5.0,False
TKT-C001-00091,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,plan_upgrade,Nizhny Novgorod,2024-06-11 22:55:06,2024-06-11 23:33:06,38,5,1,False,resolved_by_ai,negative,5.0,False
TKT-C001-00092,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,plan_upgrade,Rostov-on-Don,2024-04-20 04:15:33,2024-04-20 04:26:33,11,10,4,False,resolved_by_ai,positive,2.0,False
TKT-C001-00093,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,cancellation,Novosibirsk,2024-02-06 07:29:40,2024-02-06 07:49:40,20,11,5,False,resolved_by_ai,positive,1.0,False
TKT-C001-00094,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,device_support,Saint Petersburg,2024-01-19 14:22:37,2024-01-19 14:56:37,34,8,7,False,resolved_by_ai,neutral,,False
TKT-C001-00095,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,roaming_issue,Rostov-on-Don,2024-03-01 12:36:22,2024-03-01 12:45:22,9,3,7,False,resolved_by_ai,positive,3.0,False
TKT-C001-00096,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,cancellation,Nizhny Novgorod,2024-06-24 23:03:58,2024-06-24 23:15:58,12,12,4,False,resolved_by_ai,positive,5.0,False
TKT-C001-00097,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,plan_upgrade,Moscow,2024-02-26 20:12:39,2024-02-26 20:40:39,28,4,5,False,resolved_by_ai,positive,,False
TKT-C001-00098,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,roaming_issue,Volgograd,2024-05-28 11:46:08,2024-05-28 12:13:08,27,10,6,False,resolved_by_ai,neutral,4.0,False
TKT-C001-00099,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,roaming_issue,Yekaterinburg,2024-03-10 05:16:58,2024-03-10 05:29:58,13,9,2,False,resolved_by_ai,neutral,4.0,False
TKT-C001-00100,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,internet_speed,Ufa,2024-06-22 23:43:25,2024-06-23 00:00:25,17,4,3,True,escalated_to_human,negative,2.0,False
TKT-C001-00101,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,internet_speed,Rostov-on-Don,2024-06-21 08:37:24,2024-06-21 08:57:24,20,11,10,True,escalated_to_human,negative,2.0,False
TKT-C001-00102,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,roaming_issue,Samara,2024-02-26 20:04:40,2024-02-26 20:56:40,52,12,1,False,resolved_by_ai,negative,2.0,False
TKT-C001-00103,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,plan_upgrade,Krasnoyarsk,2024-01-30 03:15:56,2024-01-30 03:22:56,7,5,7,False,resolved_by_ai,positive,4.0,False
TKT-C001-00104,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,device_support,Yekaterinburg,2024-02-09 13:41:06,2024-02-09 14:16:06,35,10,4,False,resolved_by_ai,positive,3.0,False
TKT-C001-00105,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,internet_speed,Yekaterinburg,2024-04-02 03:43:23,2024-04-02 04:05:23,22,22,9,True,escalated_to_human,positive,2.0,False
TKT-C001-00106,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,internet_speed,Omsk,2024-06-13 20:38:01,2024-06-13 21:14:01,36,13,2,False,resolved_by_ai,positive,,False
TKT-C001-00107,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,internet_speed,Novosibirsk,2024-02-23 18:13:52,2024-02-23 19:00:52,47,11,5,False,resolved_by_ai,positive,,False
TKT-C001-00108,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,service_outage,Moscow,2024-02-03 17:16:51,2024-02-03 17:59:51,43,11,4,False,resolved_by_ai,negative,1.0,True
TKT-C001-00109,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,device_support,Saint Petersburg,2024-02-14 08:03:08,2024-02-14 08:13:08,10,8,6,False,resolved_by_ai,positive,5.0,False
TKT-C001-00110,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,roaming_issue,Chelyabinsk,2024-04-25 16:14:39,2024-04-25 16:31:39,17,9,8,False,resolved_by_ai,negative,,False
TKT-C001-00111,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,service_outage,Ufa,2024-06-24 03:31:45,2024-06-24 08:03:45,272,2,3,False,resolved_by_ai,neutral,3.0,True
TKT-C001-00112,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,roaming_issue,Ufa,2024-05-29 17:45:20,2024-05-29 18:24:20,39,3,2,False,resolved_by_ai,negative,,False
TKT-C001-00113,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,cancellation,Saint Petersburg,2024-05-21 23:55:13,2024-05-22 00:12:13,17,12,7,False,resolved_by_ai,positive,4.0,False
